"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat May 06 19:54:51 GMT 2023","Sat May 06 19:55:01 GMT 2023","10128","","Находим отель, открываем его страницу через карту и проверяем совпадение данных на новой странице отеля","","tests.FirstSelenideTest","bookingFindHotel","bookingFindHotel",""
"failed","Sat May 06 19:54:38 GMT 2023","Sat May 06 19:54:51 GMT 2023","13153","","Добавляем нужный отель в избранное и удаляем его из избранного на новой странице","","tests.SecondSelenideTest","bookingFindHotel2","bookingFindHotel2",""
